Item Number,Manufacturer Long Name,List Price,Item Weight
RCP1883598,RUBBERMAID COMMERCIAL PROD.,505.83,25.300
RCP1883599,RUBBERMAID COMMERCIAL PROD.,183.37,6.100
RCP1883600,RUBBERMAID COMMERCIAL PROD.,220.57,7.900
RCP1883601,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883602,RUBBERMAID COMMERCIAL PROD.,234.36,13.900
RCP1883603,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883604,RUBBERMAID COMMERCIAL PROD.,262.20,14.200
RCP1883605,RUBBERMAID COMMERCIAL PROD.,354.49,20.800
RCP1883606,RUBBERMAID COMMERCIAL PROD.,374.14,16.700
RCP1883607,RUBBERMAID COMMERCIAL PROD.,486.36,25.300
RCP1883608,RUBBERMAID COMMERCIAL PROD.,183.37,6.100
RCP1883609,RUBBERMAID COMMERCIAL PROD.,203.73,7.900
RCP1883610,RUBBERMAID COMMERCIAL PROD.,264.86,13.300
RCP1883611,RUBBERMAID COMMERCIAL PROD.,234.36,10.900
RCP1883612,RUBBERMAID COMMERCIAL PROD.,304.67,18.800
RCP1883613,RUBBERMAID COMMERCIAL PROD.,262.20,14.300
RCP1883614,RUBBERMAID COMMERCIAL PROD.,354.49,20.800
RCP1883615,RUBBERMAID COMMERCIAL PROD.,374.14,16.700
RCP1883616,RUBBERMAID COMMERCIAL PROD.,486.36,25.300
RCP1883617,RUBBERMAID COMMERCIAL PROD.,55.68,2.250
RCP1883618,RUBBERMAID COMMERCIAL PROD.,95.88,3.800
RCP1883619,RUBBERMAID COMMERCIAL PROD.,116.13,6.000
RCP1883620,RUBBERMAID COMMERCIAL PROD.,139.69,7.100
RCP1883621,RUBBERMAID COMMERCIAL PROD.,172.21,8.300
RCP1883623,RUBBERMAID COMMERCIAL PROD.,112.28,4.300
RCP1883624,RUBBERMAID COMMERCIAL PROD.,127.10,6.150
RCP1883625,RUBBERMAID COMMERCIAL PROD.,149.92,6.870
RCP1883626,RUBBERMAID COMMERCIAL PROD.,182.99,8.800
RCP1883627,RUBBERMAID COMMERCIAL PROD.,117.18,4.930
RCP1883628,RUBBERMAID COMMERCIAL PROD.,141.21,6.400
RCP1883629,RUBBERMAID COMMERCIAL PROD.,194.40,9.900
RCP1887083,,92.03,1.000
RCP1887155,,1946.28,1.000
RCP1887157,,947.39,120.000
RCP1887309,,106.24,24.700
RCP1887310,,44.13,1.000
RCP1887487,,17.25,1.000
RCP1887488,,128.90,1.000
RCP1889863,,77.97,13.300
RCP1889864,RUBBERMAID COMMERCIAL PROD.,93.56,2.600
RCP1900669,RUBBERMAID COMMERCIAL PROD.,55.68,3.100
RCP1900680,RUBBERMAID COMMERCIAL PROD.,112.28,4.800
RCP1900697,RUBBERMAID COMMERCIAL PROD.,95.91,4.700
RCP1900715,RUBBERMAID COMMERCIAL PROD.,116.13,6.500
RCP1900734,RUBBERMAID COMMERCIAL PROD.,172.21,9.100
RCP1900896,RUBBERMAID COMMERCIAL PROD.,127.10,7.400
RCP1900913,RUBBERMAID COMMERCIAL PROD.,182.99,10.400
RCP1901982,RUBBERMAID COMMERCIAL PROD.,223.39,11.600
RCP1901983,RUBBERMAID COMMERCIAL PROD.,223.39,11.600
RCP1901984,,223.39,11.600
RCP1901985,RUBBERMAID COMMERCIAL PROD.,279.22,20.000
